Provinsi,Nama Rumah Sakit,Alamat,Lat,Long,Linkmaps
Aceh,RSU Dr. Zainoel Abidin Banda Aceh,"Jl. Tgk. Daud Beureueh No.108 banda Aceh Telp: 0651 - 22077, 28148",5.563718,95.3353989,"https://www.google.com/maps/place/dr.+Zainoel+Abidin+Regional+General+Hospital/@5.563718,95.3353989,17z/data=!4m6!3m5!1s0x30403713e334d845:0x3e919c2162ffb069!4b1!8m2!3d5.5637127!4d95.3375876"
Aceh,RSU Cut Meutia Lhokseumawe,Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe Telp: 0645-43012,5.1231,97.1564697,"https://www.google.com/maps/place/HOSPITAL.+Cut+Meutia+Lhokseumawe/@5.1231,97.1564697,19.25z/data=!4m5!3m4!1s0x304783a5aaaaaaab:0x3e86022ad5011ce2!8m2!3d5.1237042!4d97.1565353"
Sumatera Utara,RSU H. Adam Malik Medan,Jl. Bunga lau No.17 Telp: 061 - 8360381 ; Fax: 061 - 8360255,3.518414,98.6064493,"https://www.google.com/maps/place/General+Hospital+H.+Adam+Malik/@3.518414,98.6064493,17z/data=!3m1!4b1!4m5!3m4!1s0x303125a213ccb2b7:0xf3f662312bf15955!8m2!3d3.5184086!4d98.608638"
Sumatera Utara,RSU Kabanjahe,Jl. KS Ketaren 8 Kabanjahe Telp: 20550,3.0979584,98.4894196,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Kabanjahe/@3.0979584,98.4894196,17z/data=!3m1!4b1!4m5!3m4!1s0x3031002e9a6307a1:0x26622c38335fea61!8m2!3d3.097953!4d98.4916083"
Sumatera Utara,RSU dr. Djasamen Saragih Pematang Siantar,Jl. Sutomo No.230 P. Siantar Telp: 0634-21780,2.9879818,99.0301261,"https://www.google.com/maps/place/Dr.+Djasemen+Saragih+Regional+General+Hospital/@2.9879818,99.0301261,13z/data=!4m8!1m2!2m1!1sRSU+Pematang+Siantar!3m4!1s0x30318442fb2571c3:0xe14e97536b4aef42!8m2!3d2.9581818!4d99.0697383"
Sumatera Utara,RSU Tarutung,Jl. Bin Harun Said Tarutung Telp: 0633-21303,2.0268437,98.9585211,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Tarutung/@2.0268437,98.9585211,17z/data=!3m1!4b1!4m5!3m4!1s0x302e6e8c490997f7:0xe7836722b91d8031!8m2!3d2.0268383!4d98.9607098"
Sumatera Utara,RSU Padang Sidempuan,Jl. Dr FL Tobing Pd Sidempuan Telp: 21780,1.3759228,99.2666725,"https://www.google.com/maps/place/RSU+Padang+Sidempuan/@1.3759228,99.2666725,16.5z/data=!4m8!1m2!2m1!1sRSU+Padang+Sidempuan!3m4!1s0x302c1c814e671e05:0xa14435db1aaa64cc!8m2!3d1.3724329!4d99.2723176?hl=id"
Sumatera Barat,RSU Dr. M. Jamil Padang,"Jl. Perintis Kemerdekaan, Padang. Telp. 0751 - 32372",-0.9434096,100.3647657,"https://www.google.com/maps/place/RSUP+Dr.+M.+Djamil,+Padang/@-0.9434096,100.3647657,17z/data=!3m1!4b1!4m5!3m4!1s0x2fd4b93b7f3bc70d:0x1230c06e21cb064a!8m2!3d-0.9434096!4d100.3669544?hl=id"
Sumatera Barat,RSUD Dr. Achmad Mochtar,Jl. Dr A Rivai Bukittinggi Telp: 0752-21720,-0.2997261,100.3639312,"https://www.google.com/maps/place/RSUD+Dr.+Achmad+Mochtar+Kota+Bukittinggi/@-0.2997261,100.3639312,17z/data=!3m1!4b1!4m5!3m4!1s0x2fd538a40e6858d1:0xcbf2a697beca30a6!8m2!3d-0.2997261!4d100.3661199?hl=id"
Riau,RSU Arifin Ahmad Pekan Baru,"Jl. Diponegoro No.2, Pekan Baru",0.5232428,101.4500354,"https://www.google.com/maps/place/RSUD+ARIFIN+ACHMAD+PROVINSI+RIAU/@0.5232428,101.4500354,17z/data=!3m1!4b1!4m5!3m4!1s0x31d5ac1b96d2da05:0xa46f1a0f91188a1e!8m2!3d0.5232428!4d101.4522241?hl=id"
Riau,RSU Muhamad Sani Karimun,Jl. Poros No. 1 Tg.Balai Karimun Fax : 29611,0.992734,103.4257374,"https://www.google.com/maps/place/RSUD+Muhammad+Sani/@0.992734,103.4257374,14.71z/data=!4m8!1m2!2m1!1sJl.+Poros+Kab.+Karimun!3m4!1s0x0:0xd955978106925a6c!8m2!3d1.0135646!4d103.4137273?hl=id"
Riau,RSU Tanjung Pinang,"Jl. Sudirman No. 795, Tanjung Pinang Telp. 0771 -21163",0.9257796,104.4418881,"https://www.google.com/maps/place/Tanjungpinang+City+Hospital/@0.9257796,104.4418881,18.5z/data=!4m8!1m2!2m1!1sRSU+Tanjung+Pinang!3m4!1s0x31d972446787fb39:0xb9900a900c437e75!8m2!3d0.9253833!4d104.4418552"
Riau,RSU Puri Husada,"JI. Veteran No. 52, Hilir Tembilahan",-0.3251161,103.1625748,"https://www.google.com/maps/place/RSUD+Puri+Husada+Tembilahan/@-0.3251161,103.1625748,16.21z/data=!4m5!3m4!1s0x2e28402e6e16e6d3:0x7107ddc0c68e021f!8m2!3d-0.3229604!4d103.163158?hl=id"
Riau,RSU Dumai,Jl. Tanjung Jati No. 4 Dumai Telp. 0762-38368,1.6801476,101.4571467,"https://www.google.com/maps/place/RUMAH+SAKIT+UMUM+DUMAI/@1.6801476,101.4571467,17z/data=!4m8!1m2!2m1!1sRSU+Dumai%09Jl.+Tanjung+Jati+No.+4+Dumai+Telp.+0762-38368!3m4!1s0x31d3af1fc97d41ef:0xebcd7315028abbbd!8m2!3d1.680024!4d101.4591446?hl=id"
Kep. Riau,RS Otorita Batam,"Jl. Dr. Ciptomangunkusumo, Sekupang Batam",1.1296374,103.9283982,"https://www.google.com/maps/place/Rumah+Sakit+BP+Batam/@1.1296374,103.9283982,17z/data=!3m1!4b1!4m5!3m4!1s0x31d98b24b4f93fc7:0xc4e130c6a72e91b3!8m2!3d1.1296374!4d103.9305869?hl=id"
Jambi,RSU Raden Mattaher Jambi,Jl. Letjend. Soeprapto No.31 Telanaipura Jambi Telp. 0741 -61692,-1.6034702,103.5778473,"https://www.google.com/maps/place/RSUD+Raden+Mattaher+Jambi/@-1.6034702,103.5778473,17z/data=!3m1!4b1!4m5!3m4!1s0x2e25885b1ed59e67:0x446797519692c5c8!8m2!3d-1.6034702!4d103.580036?hl=id"
Sumatera Selatan,RSU Dr. M. Hoesin Palembang,Jl. Jendral Sudirman Palembang 30126,-2.9661251,104.7480356,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Pusat+Dr.+Mohammad+Hoesin/@-2.9661251,104.7480356,17z/data=!3m1!4b1!4m5!3m4!1s0x2e3b75d77f01c7c7:0xf1c081d3dce0a768!8m2!3d-2.9661251!4d104.7502243?hl=id"
Sumatera Selatan,RSU Dr. Sobirin Musirawas Lubuk Linggau,Jl. Yos Sudarso Lubuk Linggau Telp. 0733 - 321013,-3.2827214,102.8801321,"https://www.google.com/maps/place/RSU+Dr.+Sobirin+Musirawas/@-3.2827214,102.8801321,15z/data=!4m8!1m2!2m1!1sRSU+Lubuk+Linggau%09Jl.+Yos+Sudarso+Lubuk+Linggau+Telp.+0733+-+321013!3m4!1s0x2e30e1352bf2dc65:0xc4b70e1f914e51d0!8m2!3d-3.2968075!4d102.8637169?hl=id"
Sumatera Selatan,RSU Kayu Agung,Jl. Raya Lintas Timur Kec. Kota Kayuagung Telp. 0712 -323889,-3.40755,104.8230613,"https://www.google.com/maps/place/Rumah+Sakit+Umum+Daerah+Kayu+Agung/@-3.40755,104.8230613,17z/data=!4m8!1m2!2m1!1sRSU+Kayu+Agung%09!3m4!1s0x2e3befc248817197:0x558b2f8fb0437b5a!8m2!3d-3.4079247!4d104.8249739?hl=id"
Sumatera Selatan,RSD Kab. Lahat,"Jl. Mayor Ruslan I  No. 28, Lahat. Telp. (0731) 321785",-3.7930233,103.532406,"https://www.google.com/maps/place/RSUD+Kab.+Lahat/@-3.7930233,103.532406,17z/data=!3m1!4b1!4m5!3m4!1s0x2e3757e295934e9d:0x75d08e22462ec22!8m2!3d-3.7930233!4d103.5345947?hl=id"
Kep. Bangka Belitung,RSU dr. H. Marsidi Judono Tanjung Pandan,"Jl. Melati Tanjung Pandan. Telp. (0719) 21071, Fax: (0719) 22190",-2.7490296,107.6780566,"https://www.google.com/maps/place/RSUD+dr.+H.+Marsidi+Judono/@-2.7490296,107.6780566,19.71z/data=!4m8!1m2!2m1!1sRumah+Sakit!3m4!1s0x0:0x20425d49a819e1e2!8m2!3d-2.7490019!4d107.6782592?hl=id"
